date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:58	111266/111266	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a10-1b2a2%22	https://htmldemo.net/urdan/urdan/index-2.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/index-2.html	(from )
17:09:00	405/405	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Nov%202023%2010:09:52%20GMT	https://htmldemo.net/robots.txt		(from )
17:09:00	447/447	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:09:52%20GMT	https://htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-32x32.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-32x32.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:00	3474/3474	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:09:52%20GMT	https://htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-192x192.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-192x192.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:01	10229/10229	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:09:53%20GMT	https://htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-270x270.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-270x270.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:03	4878/4878	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:09:53%20GMT	https://htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-180x180.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/favicon/cropped-favicon-180x180.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:07	9757/9757	---MCZ	200	added ('OK')	text/css	etag:W/%2263889aba-261d%22	https://htmldemo.net/urdan/urdan/assets/css/vendor/pe-icon-7-stroke.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/vendor/pe-icon-7-stroke.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:08	31018/31018	---MCZ	200	added ('OK')	text/css	etag:W/%2263889ab8-792a%22	https://htmldemo.net/urdan/urdan/assets/css/vendor/font-awesome.min.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/vendor/font-awesome.min.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:08	16465/16465	---MCZ	200	added ('OK')	text/css	etag:W/%2263889aba-4051%22	https://htmldemo.net/urdan/urdan/assets/css/vendor/themify-icons.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/vendor/themify-icons.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:12	194855/194855	---MCZ	200	added ('OK')	text/css	etag:W/%2263889ab8-2f927%22	https://htmldemo.net/urdan/urdan/assets/css/vendor/bootstrap.min.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/vendor/bootstrap.min.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:18	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2263889aad-65c5%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/aos.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/aos.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:19	5383/5383	---MCZ	200	added ('OK')	text/css	etag:W/%2263889ab1-1507%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/magnific-popup.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/magnific-popup.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:20	19474/19474	---MCZ	200	added ('OK')	text/css	etag:W/%2263889aaf-4c12%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/jquery-ui.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/jquery-ui.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:20	4007/4007	---MCZ	200	added ('OK')	text/css	etag:W/%2263889ab1-fa7%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/nice-select.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/nice-select.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:20	70623/70623	---MCZ	200	added ('OK')	text/css	etag:W/%2263889aad-113df%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/animate.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/animate.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:20	16265/16265	---MCZ	200	added ('OK')	text/css	etag:W/%2263889ab3-3f89%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/select2.min.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/select2.min.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:20	953/953	---MCZ	200	added ('OK')	text/css	etag:W/%2263889aaf-3b9%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/easyzoom.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/easyzoom.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:21	2033/2033	---MCZ	200	added ('OK')	text/css	etag:W/%2263889ab3-7f1%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/slinky.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/slinky.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:23	1179/1179	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:14%20GMT	https://htmldemo.net/urdan/urdan/assets/images/icon-img/spanish.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/icon-img/spanish.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:23	1502/1502	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:13%20GMT	https://htmldemo.net/urdan/urdan/assets/images/icon-img/flag.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/icon-img/flag.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:23	1022965/1022965	---MCZ	200	added ('OK')	text/css	etag:W/%2263889a6e-f9bf5%22	https://htmldemo.net/urdan/urdan/assets/css/style.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/style.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:23	1265/1265	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:15%20GMT	https://htmldemo.net/urdan/urdan/assets/images/icon-img/arabic.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/icon-img/arabic.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:23	2045/2045	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:15%20GMT	https://htmldemo.net/urdan/urdan/assets/images/logo/logo.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/logo/logo.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:24	112480/112480	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a18-1b760%22	https://htmldemo.net/urdan/urdan/index.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/index.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:27	110294/110294	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a11-1aed6%22	https://htmldemo.net/urdan/urdan/index-3.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/index-3.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:27	120380/120380	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a13-1d63c%22	https://htmldemo.net/urdan/urdan/index-5.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/index-5.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:30	13694/13694	---MCZ	200	added ('OK')	text/css	etag:W/%2263889ab4-357e%22	https://htmldemo.net/urdan/urdan/assets/css/plugins/swiper.min.css	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/css/plugins/swiper.min.css	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:30	61634/61634	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a15-f0c2%22	https://htmldemo.net/urdan/urdan/index-6.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/index-6.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:30	110202/110202	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a15-1ae7a%22	https://htmldemo.net/urdan/urdan/index-7.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/index-7.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:31	78556/78556	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a29-132dc%22	https://htmldemo.net/urdan/urdan/shop.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/shop.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:31	46054/46054	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a17-b3e6%22	https://htmldemo.net/urdan/urdan/index-8.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/index-8.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:32	77456/77456	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a27-12e90%22	https://htmldemo.net/urdan/urdan/shop-sidebar.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/shop-sidebar.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:32	78222/78222	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a25-1318e%22	https://htmldemo.net/urdan/urdan/shop-list.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/shop-list.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:32	77251/77251	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a23-12dc3%22	https://htmldemo.net/urdan/urdan/shop-list-sidebar.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/shop-list-sidebar.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:33	37056/37056	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a25-90c0%22	https://htmldemo.net/urdan/urdan/shop-location.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/shop-location.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:33	62568/62568	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a23-f468%22	https://htmldemo.net/urdan/urdan/product-details.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/product-details.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:33	77444/77444	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a27-12e84%22	https://htmldemo.net/urdan/urdan/shop-right-sidebar.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/shop-right-sidebar.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:33	62582/62582	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a1c-f476%22	https://htmldemo.net/urdan/urdan/product-details-2.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/product-details-2.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:34	61809/61809	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a1e-f171%22	https://htmldemo.net/urdan/urdan/product-details-affiliate.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/product-details-affiliate.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:34	58599/58599	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a20-e4e7%22	https://htmldemo.net/urdan/urdan/product-details-gallery.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/product-details-gallery.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:35	55751/55751	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a1e-d9c7%22	https://htmldemo.net/urdan/urdan/product-details-fixed-img.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/product-details-fixed-img.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:35	63639/63639	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a20-f897%22	https://htmldemo.net/urdan/urdan/product-details-group.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/product-details-group.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:38	40442/40442	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a0b-9dfa%22	https://htmldemo.net/urdan/urdan/cart.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/cart.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:38	41922/41922	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a05-a3c2%22	https://htmldemo.net/urdan/urdan/about-us.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/about-us.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:39	48574/48574	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a0c-bdbe%22	https://htmldemo.net/urdan/urdan/checkout.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/checkout.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:40	45084/45084	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a1a-b01c%22	https://htmldemo.net/urdan/urdan/my-account.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/my-account.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:40	38409/38409	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a29-9609%22	https://htmldemo.net/urdan/urdan/wishlist.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/wishlist.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:40	34182/34182	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a0e-8586%22	https://htmldemo.net/urdan/urdan/contact-us.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/contact-us.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:42	101612/101612	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:27%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/menu.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/menu.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:42	37471/37471	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a0e-925f%22	https://htmldemo.net/urdan/urdan/compare.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/compare.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:42	32538/32538	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a19-7f1a%22	https://htmldemo.net/urdan/urdan/login-register.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/login-register.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:43	46792/46792	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a07-b6c8%22	https://htmldemo.net/urdan/urdan/blog-sidebar.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/blog-sidebar.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:44	50770/50770	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a08-c652%22	https://htmldemo.net/urdan/urdan/blog-details.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/blog-details.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:44	1961/1961	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Nov%202023%2010:10:36%20GMT	https://htmldemo.net/urdan/urdan/assets/images/cart/cart-1.jpg	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/cart/cart-1.jpg	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:44	126086/126086	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a13-1ec86%22	https://htmldemo.net/urdan/urdan/index-4.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/index-4.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:45	39684/39684	---MCZ	200	added ('OK')	text/html	etag:W/%2263889a0a-9b04%22	https://htmldemo.net/urdan/urdan/blog.html	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/blog.html	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:46	1971/1971	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Nov%202023%2010:10:36%20GMT	https://htmldemo.net/urdan/urdan/assets/images/cart/cart-2.jpg	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/cart/cart-2.jpg	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:49	2724/2724	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:38%20GMT	https://htmldemo.net/urdan/urdan/assets/images/icon-img/chair.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/icon-img/chair.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:49	150086/150086	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Nov%202023%2010:10:39%20GMT	https://htmldemo.net/urdan/urdan/assets/images/slider/slider-bg-2-2.jpg	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/slider/slider-bg-2-2.jpg	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:50	2744/2744	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:41%20GMT	https://htmldemo.net/urdan/urdan/assets/images/category/category-6-black.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/category/category-6-black.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:50	2905/2905	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:42%20GMT	https://htmldemo.net/urdan/urdan/assets/images/category/category-hover-6.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/category/category-hover-6.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:51	2258/2258	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:42%20GMT	https://htmldemo.net/urdan/urdan/assets/images/category/category-7-black.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/category/category-7-black.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:51	2299/2299	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:43%20GMT	https://htmldemo.net/urdan/urdan/assets/images/category/category-hover-7.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/category/category-hover-7.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:51	2921/2921	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:43%20GMT	https://htmldemo.net/urdan/urdan/assets/images/category/category-8-black.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/category/category-8-black.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:52	3253/3253	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:44%20GMT	https://htmldemo.net/urdan/urdan/assets/images/category/category-hover-8.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/category/category-hover-8.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:52	1999/1999	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:44%20GMT	https://htmldemo.net/urdan/urdan/assets/images/category/category-9-black.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/category/category-9-black.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:52	2134/2134	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:44%20GMT	https://htmldemo.net/urdan/urdan/assets/images/category/category-hover-9.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/category/category-hover-9.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:53	2541/2541	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:45%20GMT	https://htmldemo.net/urdan/urdan/assets/images/category/category-10-black.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/category/category-10-black.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:53	3110/3110	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:45%20GMT	https://htmldemo.net/urdan/urdan/assets/images/category/category-hover-10.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/category/category-hover-10.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:54	3273/3273	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:46%20GMT	https://htmldemo.net/urdan/urdan/assets/images/category/category-hover-11.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/category/category-hover-11.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:55	16389/16389	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:47%20GMT	https://htmldemo.net/urdan/urdan/assets/images/product/product-6.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/product/product-6.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:57	17210/17210	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:48%20GMT	https://htmldemo.net/urdan/urdan/assets/images/product/product-7.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/product/product-7.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:09:59	29127/29127	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:49%20GMT	https://htmldemo.net/urdan/urdan/assets/images/product/product-4.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/product/product-4.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:01	31129/31129	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:51%20GMT	https://htmldemo.net/urdan/urdan/assets/images/product/product-8.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/product/product-8.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:03	29281/29281	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:53%20GMT	https://htmldemo.net/urdan/urdan/assets/images/product/product-2.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/product/product-2.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:05	17800/17800	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:55%20GMT	https://htmldemo.net/urdan/urdan/assets/images/product/product-3.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/product/product-3.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:05	15508/15508	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:47%20GMT	https://htmldemo.net/urdan/urdan/assets/images/product/product-5.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/product/product-5.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:05	30882/30882	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:57%20GMT	https://htmldemo.net/urdan/urdan/assets/images/product/product-9.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/product/product-9.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:10	155994/155994	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Nov%202023%2010:10:38%20GMT	https://htmldemo.net/urdan/urdan/assets/images/slider/slider-bg-2.jpg	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/slider/slider-bg-2.jpg	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:10	105859/105859	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:10:58%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/banner-6.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/banner-6.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:11	211404/211404	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:02%20GMT	https://htmldemo.net/urdan/urdan/assets/images/banner/banner-7.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/banner/banner-7.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:13	4625/4625	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:05%20GMT	https://htmldemo.net/urdan/urdan/assets/images/brand-logo/brand-logo-1.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/brand-logo/brand-logo-1.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:13	6134/6134	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:05%20GMT	https://htmldemo.net/urdan/urdan/assets/images/brand-logo/brand-logo-2.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/brand-logo/brand-logo-2.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:15	7221/7221	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:05%20GMT	https://htmldemo.net/urdan/urdan/assets/images/brand-logo/brand-logo-3.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/brand-logo/brand-logo-3.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:16	7897/7897	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:07%20GMT	https://htmldemo.net/urdan/urdan/assets/images/brand-logo/brand-logo-4.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/brand-logo/brand-logo-4.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:17	5709/5709	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:08%20GMT	https://htmldemo.net/urdan/urdan/assets/images/brand-logo/brand-logo-5.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/brand-logo/brand-logo-5.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:21	102417/102417	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:09%20GMT	https://htmldemo.net/urdan/urdan/assets/images/blog/blog-1.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/blog/blog-1.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:25	112108/112108	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:13%20GMT	https://htmldemo.net/urdan/urdan/assets/images/blog/blog-2.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/blog/blog-2.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
17:10:29	90735/90735	---MC-	200	added ('OK')	image/png	date:Mon,%2013%20Nov%202023%2010:11:17%20GMT	https://htmldemo.net/urdan/urdan/assets/images/blog/blog-3.png	E:/duan1/db/giaodien/htmldemo.net/urdan/urdan/assets/images/blog/blog-3.png	(from https://htmldemo.net/urdan/urdan/index-2.html)
